date,state,district,pincode,total,anomaly_score
2025-09-17,Madhya Pradesh,Morena,476001,38,-0.03588434681845054
2025-09-17,Madhya Pradesh,Raisen,464551,26,-0.005788245426183836
2025-09-17,Madhya Pradesh,Sheopur,476337,29,-0.022461295305149176
2025-09-17,Maharashtra,Aurangabad,431001,45,-0.010336644242907811
2025-09-17,Maharashtra,Dhule,425405,46,-0.026872604848658832
2025-09-17,Maharashtra,Thane,421302,67,-0.07631503787223226
2025-09-17,Punjab,Amritsar,143001,45,-0.05352022066068651
2025-09-17,Assam,Karbi Anglong,782410,25,-0.016506768978672093
2025-09-17,Gujarat,Ahmedabad,382150,14,-0.002375101396823953
2025-09-17,Gujarat,Banaskantha,385535,41,-0.04955917194591841
2025-09-17,Haryana,Gurgaon,122001,19,-0.007520113518258542
2025-09-17,Uttar Pradesh,Budaun,243601,38,-0.04562426510654671
2025-09-17,Uttar Pradesh,Etah,207001,42,-0.0244874101635979
2025-09-17,Uttar Pradesh,Firozabad,283203,39,-0.050189793456551834
2025-09-17,Uttar Pradesh,Kasganj,207242,44,-0.06464620325404857
2025-09-17,Uttar Pradesh,Mau,275101,38,-0.0030547077380299603
2025-09-17,Uttar Pradesh,Meerut,250001,35,-0.002458410296327207
2025-09-17,Uttar Pradesh,Sambhal,202421,20,-0.001461547878196967
2025-09-17,Uttar Pradesh,Sambhal,202522,26,-0.011624017993276836
2025-09-17,West Bengal,Murshidabad,742202,96,-0.016275046975816276
2025-09-17,West Bengal,Uttar Dinajpur,733202,53,-0.03663798981690092
2025-09-17,Rajasthan,Banswara,327001,43,-0.01078457718524195
2025-09-17,Rajasthan,Jodhpur,342001,37,-0.06615794713310919
2025-09-17,Rajasthan,Sirohi,307026,37,-0.0055459429172791674
2025-09-17,Delhi,North West Delhi,110086,27,-0.004861536169752267
2025-09-17,Delhi,West Delhi,110041,39,-0.05498025154944208
2025-09-18,Bihar,Araria,854311,46,-0.00938267598009046
2025-09-18,Bihar,West Champaran,845454,32,-0.02101504765979778
2025-09-18,Uttar Pradesh,Hardoi,241402,22,-0.03302724034099769
2025-09-18,Uttar Pradesh,Kheri,261505,22,-0.002528487441908922
2025-09-18,Uttar Pradesh,Meerut,250002,55,-0.03315484354132181
2025-09-18,West Bengal,Uttar Dinajpur,733202,74,-0.08185347705963764
2025-09-18,Haryana,Faridabad,121004,42,-0.025666502211763587
2025-09-18,Madhya Pradesh,Morena,476001,38,-0.07416686407278938
2025-09-18,Meghalaya,Ri Bhoi,793105,30,-0.05752841858113866
2025-09-18,Rajasthan,Jalor,343041,68,-0.04934521884694143
2025-09-18,Rajasthan,Nagaur,341001,38,-0.003428833848817092
2025-09-18,Uttar Pradesh,Agra,282001,22,-0.008897481192096324
2025-09-18,Uttar Pradesh,Chandauli,232101,20,-0.0012291539433838539
2025-09-18,Uttar Pradesh,Firozabad,283203,34,-0.001464481875281698
2025-09-18,Uttar Pradesh,Hardoi,241001,43,-0.06253119947275121
2025-09-18,Uttar Pradesh,Sitapur,261205,16,-0.0016572693563102758
2025-09-18,Uttar Pradesh,Unnao,209801,35,-0.0448222248318475
2025-09-18,Assam,Nalbari,781126,31,-0.032809282108549276
2025-09-18,Bihar,Gaya,823003,21,-0.004601159938860788
2025-09-18,Madhya Pradesh,Bhind,477116,18,-0.009320031816984264
2025-09-18,Madhya Pradesh,Jhabua,457661,44,-0.0635358238428283
2025-09-18,West Bengal,Uttar Dinajpur,733207,74,-0.052601945946228024
2025-09-18,Jharkhand,Pakur,816107,42,-0.010957602418199874
2025-09-18,Madhya Pradesh,Indore,452001,23,-0.026465787343617708
2025-09-18,Uttar Pradesh,Baghpat,250611,36,-0.005159717426453603
2025-09-18,Uttar Pradesh,Bareilly,243505,19,-0.011511490095022281
2025-09-18,Uttar Pradesh,Mainpuri,205265,26,-0.0017547853948490788
2025-09-18,Uttar Pradesh,Moradabad,244001,57,-0.0009060646205999445
2025-09-18,Uttar Pradesh,Saharanpur,247001,51,-0.03343959736048674
2025-09-18,Maharashtra,Aurangabad,431001,48,-0.029308488387175258
2025-09-18,Maharashtra,Chandrapur,442401,22,-0.011272430460339544
2025-09-18,Maharashtra,Thane,421302,61,-0.04168585073001485
2025-09-18,Rajasthan,Barmer,344704,42,-0.01768198284547018
2025-09-18,Rajasthan,Bundi,323021,27,-0.006248027656580057
2025-09-18,Bihar,West Champaran,845306,20,-0.005564179381530199
2025-09-18,Bihar,West Champaran,845438,48,-0.019783193127786092
2025-09-18,Chhattisgarh,Bijapur,494444,19,-0.007577057285716782
2025-09-18,Delhi,North East Delhi,110094,46,-0.06756794325984139
2025-09-18,Uttar Pradesh,Gorakhpur,273158,16,-0.0016572693563102758
2025-09-18,West Bengal,Malda,732125,71,-0.026941889197501512
2025-09-18,West Bengal,Uttar Dinajpur,733210,45,-0.019514479694614284
2025-09-18,Maharashtra,Hingoli,431513,26,-0.0073221413966482185
2025-09-18,Rajasthan,Alwar,301001,34,-0.05702999962082855
2025-09-18,Rajasthan,Jodhpur,342001,36,-0.00476081883729651
2025-09-18,Bihar,Purnia,854315,45,-0.010957602418199874
